name,sex,class,math,art,gym,email
Phillip Chung,m,10-D,9,5,11,glynch@yahoo.com
Sarah Payne,f,10-B,10,10,6,rosaleslori@yahoo.com
Jose Crawford,m,10-C,10,12,8,nicholaswilliams@gmail.com
Ryan Phillips,m,10-D,5,12,5,daviscindy@hotmail.com
Kendra Haynes,f,10-D,6,6,5,brendan94@yahoo.com
Lindsey Costa,f,10-C,12,5,8,ulam@yahoo.com
Kara Perry,f,10-B,5,9,6,russojessica@hotmail.com
Joseph Ramos,m,10-C,4,6,4,bergertiffany@gmail.com
William Mckee,m,10-A,9,5,12,wgreen@hotmail.com
Scott Cruz,m,10-D,4,5,7,klee@yahoo.com
Jason Mcbride,m,10-A,10,9,4,amandalogan@gmail.com
Amber Hall,f,10-C,8,7,9,kimberlybaird@yahoo.com
Jonathan Davis,m,10-D,4,12,12,rileyjoseph@gmail.com
Christopher Smith,m,10-C,7,5,10,nicholasgarcia@gmail.com
Erik Medina,m,10-D,12,6,7,joeldavis@yahoo.com
Sara Bauer,f,10-C,11,9,6,jeffrey37@hotmail.com
Michael Evans,m,10-D,11,11,8,nbruce@yahoo.com
Robin Jones,f,10-D,6,4,5,strongpatricia@gmail.com
Leslie Blair MD,m,10-B,8,6,11,ebarnes@yahoo.com
Derek Taylor,m,10-D,9,9,9,craig67@yahoo.com
Daniel Moody,m,10-D,6,9,8,lallen@yahoo.com
Travis Turner,m,10-C,6,6,7,gregorymays@hotmail.com
Terry Green,m,10-B,11,10,12,victoriawhitaker@gmail.com
Brandi Whitaker,f,10-C,8,12,8,mooreheather@yahoo.com
Jeffrey Stevens,m,10-B,11,12,5,leonardtommy@gmail.com
Nathan West,m,10-D,5,12,10,lhernandez@yahoo.com
Gary Williams,m,10-D,12,9,6,fullerjamie@gmail.com
Adam Terry,m,10-D,7,5,7,johnhampton@gmail.com
Alexander Gilbert,m,10-D,12,7,8,raymond22@hotmail.com
Rebecca Jenkins,f,10-C,10,9,11,brittany37@yahoo.com
Kari Smith,f,10-A,6,11,4,kaylarodriguez@yahoo.com
Bryce Soto,m,10-B,8,12,12,whall@gmail.com
Brian Miller,m,10-B,4,12,5,boothbenjamin@gmail.com
Brian Peters,m,10-A,10,12,4,jackie95@yahoo.com
Joshua Gonzales,m,10-D,5,4,4,smithjoseph@hotmail.com
Jerry Johnson,m,10-C,10,8,8,christopher03@hotmail.com
Ian West,m,10-A,5,11,9,paulawallace@yahoo.com
Michael Griffith,m,10-B,8,11,10,costaluke@gmail.com
Michelle Molina,f,10-B,11,8,10,cgarrison@gmail.com
Caroline Lee,f,10-A,9,9,6,lmora@gmail.com
David Edwards,m,10-B,4,12,6,parkermonica@gmail.com
George Hernandez,m,10-D,7,4,5,jose97@hotmail.com
Brandon Evans,m,10-D,6,12,9,watsonseth@yahoo.com
John Jones,m,10-B,5,6,6,wperry@yahoo.com
Mark Ellis,m,10-A,9,9,4,lorimerritt@hotmail.com
Joshua Duffy,m,10-A,4,10,9,alexandria33@yahoo.com
Jamie Murphy,f,10-C,7,9,7,sbeasley@yahoo.com
Michael Martinez,m,10-B,4,4,8,jason06@hotmail.com
Eugene Nash,m,10-B,4,11,10,youngdavid@gmail.com
Laura Lamb,f,10-D,5,12,7,marshlindsey@yahoo.com
Gabriel Barrera,m,10-C,11,10,12,diane16@yahoo.com
Harold Butler,m,10-D,5,4,7,reyesjames@yahoo.com
Nicholas Hunt,m,10-A,5,9,6,gibsondenise@hotmail.com
Christopher Butler,m,10-A,11,12,4,gibsondeanna@gmail.com
Michael Campbell,m,10-D,11,8,6,jeremy68@hotmail.com
Wendy Abbott,f,10-D,10,5,9,shelby52@yahoo.com
Trevor Hunter,m,10-D,4,6,4,ksmith@yahoo.com
Jose Bennett,m,10-C,7,10,11,edwardharvey@hotmail.com
David Green,m,10-B,5,5,6,joseph74@hotmail.com
Andrew Jones,m,10-A,5,4,8,woodwardhayley@gmail.com
Matthew Ramirez,m,10-D,10,7,4,englishmatthew@hotmail.com
Mrs. Deborah Rogers,f,10-A,8,5,11,wrightmatthew@hotmail.com
Robert Barber,m,10-D,10,4,8,hbaker@hotmail.com
Julie Stewart,f,10-C,7,10,10,vargasjulie@hotmail.com
Nancy Ballard,f,10-B,10,7,6,halllisa@gmail.com
Anthony Smith,m,10-C,9,6,7,david00@yahoo.com
Darrell Flowers,m,10-D,6,8,7,rwilliams@yahoo.com
Collin Barnett,m,10-B,7,11,9,warrensmith@yahoo.com
Katie Love,f,10-B,8,5,8,vanessaoneal@yahoo.com
Brian Johnson,m,10-A,11,4,6,ggonzales@hotmail.com
James Davidson,m,10-B,8,4,12,ucombs@hotmail.com
Jason Olsen,m,10-C,4,5,4,kevinspence@yahoo.com
Cindy Romero,f,10-C,9,9,5,pagepriscilla@yahoo.com
Richard Warren,m,10-A,6,9,4,smithdouglas@yahoo.com
Nicole Conrad,f,10-B,8,7,12,conniedominguez@gmail.com
Laura Oconnell,f,10-D,8,4,9,william96@yahoo.com
Kenneth Salinas,m,10-B,11,6,5,ricestephen@gmail.com
Rachel Rodriguez,f,10-B,4,12,11,brianlucas@yahoo.com
Daniel Perry,m,10-C,7,12,8,courtneyortega@gmail.com
Zachary Cooper,m,10-B,11,7,10,robyn66@yahoo.com
Carl Mendoza,m,10-D,4,5,11,theresa07@hotmail.com
Jerry Johnson,m,10-A,12,9,7,smoore@hotmail.com
Sherry Williams,f,10-B,9,8,4,breannajohnson@yahoo.com
Matthew Reyes,m,10-C,7,4,5,brownjacqueline@gmail.com
Jason Mayer,m,10-C,4,8,5,leslie13@gmail.com
Antonio Beck,m,10-A,8,5,10,marc62@hotmail.com
David Ellis,m,10-B,8,6,9,rachel40@yahoo.com
Justin Ryan,m,10-D,6,10,11,corey60@gmail.com
Travis Henry,m,10-A,6,8,5,qgutierrez@hotmail.com
Jacob Butler,m,10-D,6,9,7,scottgeorge@hotmail.com
Kelly Ortiz,f,10-A,8,11,9,greenfelicia@yahoo.com
Alexander Parker,m,10-B,5,7,5,rgarcia@yahoo.com
Michael Stevenson,m,10-B,11,9,11,jessica70@gmail.com
Randy Weber,m,10-C,10,8,9,justintate@gmail.com
Mr. Timothy Marshall DDS,m,10-B,10,4,5,qmiller@gmail.com
Elizabeth Atkinson,f,10-B,7,8,9,tbowman@hotmail.com
Justin Mcconnell,m,10-C,6,9,10,kimberly00@gmail.com
Robert Gonzalez Jr.,m,10-B,7,10,7,ndean@yahoo.com
Timothy Murray,m,10-C,6,9,9,urichards@hotmail.com
Jesse Snyder,m,10-B,12,12,12,awerner@hotmail.com
